detection_timestamp,confidence,event
2020-12-30 00:58:31.581000+00:00,0.711696744,Exit
2020-12-30 00:58:33.430000+00:00,0.741441905,Exit
2020-12-30 00:58:47.419000+00:00,0.649122417,Exit
2020-12-30 00:58:47.487000+00:00,0.730377853,Enter
2020-12-30 00:58:48.082000+00:00,0.730377853,Exit
2020-12-30 00:59:42.793000+00:00,0.636985779,Exit
2020-12-30 00:59:42.925000+00:00,0.717279792,Enter
2020-12-30 00:59:43.785000+00:00,0.717279792,Exit
2020-12-30 00:59:43.916000+00:00,0.688812733,Enter
2020-12-30 00:59:44.247000+00:00,0.688812733,Exit
2020-12-30 00:59:44.509000+00:00,0.670092106,Exit
2020-12-30 01:00:24.439000+00:00,0.478639036,Exit
2020-12-30 01:00:24.508000+00:00,0.668915212,Enter
2020-12-30 01:00:26.422000+00:00,0.68121165,Exit
2020-12-30 01:00:49.190000+00:00,0.666217446,Exit
2020-12-30 01:00:49.257000+00:00,0.618646324,Enter
2020-12-30 01:00:49.588000+00:00,0.618646324,Exit
2020-12-30 01:02:47.795000+00:00,0.619961083,Enter
2020-12-30 01:03:07.526000+00:00,0.710488439,Exit
2020-12-30 01:03:16.105000+00:00,0.727753282,Enter
2020-12-30 01:04:18.740000+00:00,0.626129866,Exit
2020-12-30 01:04:26.064000+00:00,0.732010186,Enter
2020-12-30 01:04:26+00:00,0.664355993,Exit
2020-12-30 01:04:27.057000+00:00,0.744651675,Exit
2020-12-30 01:04:40.716000+00:00,0.723114431,Exit
2020-12-30 01:04:43.818000+00:00,0.610339582,Exit
2020-12-30 01:05:50.086000+00:00,0.725941896,Exit
2020-12-30 01:05:50.217000+00:00,0.709220409,Enter
2020-12-30 01:05:51.007000+00:00,0.709220409,Exit
2020-12-30 01:06:10.346000+00:00,0.688947141,Enter
2020-12-30 01:06:11.998000+00:00,0.761371911,Exit
2020-12-30 01:06:14.701000+00:00,0.721690536,Exit
2020-12-30 01:06:15.958000+00:00,0.708475828,Exit
2020-12-30 01:06:16.946000+00:00,0.535924077,Enter
2020-12-30 01:06:17.077000+00:00,0.535924077,Exit
2020-12-30 01:06:39.320000+00:00,0.781180322,Enter
2020-12-30 01:06:43.216000+00:00,0.668452203,Exit
2020-12-30 01:06:43.676000+00:00,0.708810687,Enter
2020-12-30 01:06:44.205000+00:00,0.708810687,Exit
2020-12-30 01:06:48.427000+00:00,0.751678288,Enter
2020-12-30 01:09:25.113000+00:00,0.690692842,Exit
2020-12-30 01:09:27.025000+00:00,0.697119296,Exit
2020-12-30 01:09:52.470000+00:00,0.70013392,Exit
2020-12-30 01:09:54.121000+00:00,0.714560449,Enter
2020-12-30 01:10:25.109000+00:00,0.719348252,Exit
2020-12-30 01:10:25.438000+00:00,0.75207907,Enter
2020-12-30 01:10:25.900000+00:00,0.75207907,Exit
2020-12-30 01:10:39.957000+00:00,0.641961038,Exit
2020-12-30 01:11:23.584000+00:00,0.705770075,Exit
2020-12-30 01:11:34.142000+00:00,0.722768664,Exit
2020-12-30 01:11:55.197000+00:00,0.601967156,Exit
2020-12-30 01:12:03.446000+00:00,0.661206245,Enter
2020-12-30 01:13:00.470000+00:00,0.716046929,Exit
2020-12-30 01:13:01.065000+00:00,0.501691282,Exit
2020-12-30 01:13:02.250000+00:00,0.589429915,Exit
2020-12-30 01:14:07.198000+00:00,0.755697906,Enter
2020-12-30 01:18:47.171000+00:00,0.739404559,Exit
2020-12-30 01:18:56.343000+00:00,0.728788435,Enter
2020-12-30 01:26:16.628000+00:00,0.746338844,Exit
2020-12-30 01:26:16.828000+00:00,0.685868859,Enter
2020-12-30 01:26:17.221000+00:00,0.685868859,Exit
2020-12-30 01:28:13.977000+00:00,0.761141002,Enter
2020-12-30 01:29:34.760000+00:00,0.720547676,Enter
